,SNTL_STATION,NSE_BCQC,PBIAS(%)_BCQC,PEAK_NSE_BCQC,PEAK_PBIAS(%)_BCQC,Period(yrs)_BCQC,NSE_DAYMET,PBIAS(%)_DAYMET,PEAK_NSE_DAYMET,PEAK_PBIAS(%)_DAYMET,Period(yrs)_DAYMET,NSE_GRIDMET,PBIAS(%)_GRIDMET,PEAK_NSE_GRIDMET,PEAK_PBIAS(%)_GRIDMET,Period(yrs)_GRIDMET,NSE_PRISM,PBIAS(%)_PRISM,PEAK_NSE_PRISM,PEAK_PBIAS(%)_PRISM,Period(yrs)_PRISM,NSE_RAW,PBIAS(%)_RAW,PEAK_NSE_RAW,PEAK_PBIAS(%)_RAW,Period(yrs)_RAW,SNTL:ID,State,SNTL:Name,SNOTEL_Elev_ft,Latitude,Longitude,Data_Starting_Date,Data_Ending_Date,par_id
10,1015_WY,0.6401252865223783,-31.71717877486225,-0.6306010954957457,-19.062436564493208,15,0.42986588592044506,-51.14555706906389,-2.0482798694398285,-40.24081453861687,15,0.4117606143139566,-57.18518905470828,-2.8704425218898995,-47.370965501768175,15,0.43549423005099097,-54.835409527808274,-2.543849903926353,-45.604119702133566,15,0.3262423109337093,-56.5172989839791,-3.1991472790738458,-46.16876248677871,15,1015,WY,Sage Creek Basin,7850,41.4,-107.26,10/1/2001,9/30/2018,wy487533
11,1016_ID,0.4770321198237846,-42.25462309112997,0.23747220031503924,-22.51552910268874,15,0.6865258277893342,-26.8994610526714,0.6415221622299847,-8.830623316289048,15,0.7089235840481063,-19.261798034094067,0.39518711973137344,-3.3759564220353724,15,0.7391002081413435,-34.96688378859677,0.5303925065791171,-21.8609690753783,15,0.17867805478867127,-71.60091446277654,-1.047626199505157,-49.25081820003414,15,1016,ID,Long Valley,4890,44.79,-116.09,10/1/2001,9/30/2018,id105708
12,1017_NM,0.6631453309377378,-37.49514470961739,0.3058279873047908,-19.837082385162212,15,0.5242919835362005,-51.79023945258934,-0.7883958896930534,-38.11320659725717,15,0.35769852006134706,-56.78306494513135,-0.6019385277643978,-33.33996214028234,15,0.5458693234790968,-42.49787876864266,-0.1303801790111827,-21.507038282618765,15,0.2560355897393725,-66.84450115085383,-1.3667971347427983,-47.20784582234126,15,1017,NM,Vacas Locas,9306,36.03,-106.81,11/8/2001,9/30/2018,nm299820
13,1030_CO,0.7897908236841629,-21.68633628164164,0.6514819017034343,-6.522928982563237,14,0.5842923008416989,-37.94634026702114,-0.4124227928219209,-21.873032330410513,14,0.2413404160433588,-55.19972675193797,-3.075727948960881,-37.99273783910665,14,0.2874653893352997,-54.74021312755172,-3.1408081981490934,-39.140243807472636,14,0.533523014719,-40.784777522706186,-0.6842770420799014,-24.433589274073142,14,1030,CO,Arapaho Ridge,10960,40.35,-106.38,8/14/2002,9/30/2018,co057936
14,1031_CO,0.4279876783849483,-40.03952242819468,-8.933061093201351,-27.25701279527559,14,-0.02144998129816722,-57.40897504573609,-22.866888102263204,-42.453248031496074,14,0.02452426335116397,-56.68593991395194,-23.339935272305432,-43.4215059055118,14,0.18503133900046465,-55.31794754430469,-21.73591320141059,-45.599778543307075,14,-0.1029224488687519,-63.12807264098898,-24.352625957631698,-47.50799704724409,14,1031,CO,Never Summer,10280,40.4,-105.96,9/11/2002,9/30/2018,co053496
15,1032_CO,0.6340533849365011,-28.0204147658231,0.5015018155918087,-7.268072972359934,14,0.4622617692598672,-44.33342145414496,-0.6378131217579419,-29.129229216718286,14,0.042076350736312114,-70.25335987601228,-3.784643223543453,-58.74589750355282,14,0.8025088398682041,-15.6215338319751,0.7710277510330725,0.30968351178325193,14,0.2763366744988679,-54.00894951886893,-1.1574819082090446,-36.90117439023825,14,1032,CO,Rawah,9020,40.71,-106.01,9/12/2002,9/30/2018,co058756
16,1033_CO,0.8931526720940055,-10.053973713055967,0.8683681889251087,-1.2768583059289975,14,0.7750500396772094,-32.155338341328005,0.2542881900303665,-22.245049799834113,14,0.9054360559689422,-17.661207147957033,0.5890970390870117,-14.320795898228962,14,0.9002372980690689,-19.521577618889587,0.6378071939774996,-14.014197054942775,14,0.6900350196597587,-34.179704548425576,0.26455220189055273,-20.897498432165,14,1033,CO,Zirkel,9340,40.79,-106.6,8/15/2002,9/30/2018,co058756
17,1034_NM,0.539611339394096,-54.8122717173324,0.4546753751142358,-33.70747288664388,14,-0.05461939525867554,-87.68236720330084,-1.3825474212311444,-71.89459218541077,14,-0.03075824620087086,-87.56410112456362,-1.3187487879687525,-73.92140840885455,14,-0.1451360819870371,-93.47263782915462,-1.7937985499651816,-80.240677462487,14,-0.07592970647997888,-86.83496141978172,-1.2590045790106048,-67.51077105927796,14,1034,NM,Sierra Blanca,10280,33.4,-105.79,10/3/2002,9/30/2018,nm295960
18,1039_UT,0.5385923866905855,-43.94798311655315,-0.5959811710438665,-28.71232005090272,14,0.17645613916212288,-65.33776269157364,-2.5825150101705123,-47.327164912466756,14,0.07611517237238319,-70.4688378324288,-4.294817066706695,-56.65977358890746,14,0.06388274686148221,-71.87999637468677,-3.8845262799204816,-54.92810873388299,14,0.08151820545726574,-69.60156776492981,-3.4773551425554405,-51.5496169039476,14,1039,UT,Cascade Mountain,7774,40.28,-111.61,10/17/2002,9/30/2018,ut426919
19,1040_CO,0.27203136889957025,-50.64390573225572,-2.549159338484663,-34.21104288116385,14,0.1826865704451973,-59.373802471328716,-3.4053599996897685,-43.84652706276251,14,-0.07918426728192629,-74.38443465475527,-7.502249277426037,-60.920845030777556,14,0.21212700590224154,-59.465018990097924,-3.8300526960521637,-46.28169420967253,14,-0.1223161431318005,-73.76442969102185,-8.015046042508626,-60.296960763253615,14,1040,CO,Mccoy Park,9480,39.6,-106.54,10/1/2002,9/30/2018,co051660
20,1041_CO,0.21662550994182628,-53.02302899141378,-2.125803272614324,-32.6486995248043,14,0.3151774484543678,-53.2319012303374,-1.7718230921275784,-34.482909024127075,14,-0.0007056696660829862,-73.0473041685693,-6.320222026858362,-57.285186290489186,14,0.3851426063271165,-49.46575538377609,-1.9766059336904875,-34.866509033309605,14,-0.06017344687101424,-72.75448285259827,-5.519529817883396,-52.534377080415965,14,1041,CO,Beaver Ck Village,8500,39.6,-106.51,11/15/2002,9/30/2018,co051660
21,1042_CO,0.1563097079856569,-50.669475271471576,-2.7318574300977088,-32.45711645457521,14,0.045218166382570035,-58.94368221123498,-4.519514754652789,-43.36888512407832,14,0.18985581634520765,-55.44426931938928,-3.9207564635129284,-42.25266157133782,14,0.3736272314835094,-40.994761816404406,-1.2256976526449233,-26.4124136072233,14,-0.041830037362342136,-63.89664322126076,-6.267015671789388,-49.12769766859826,14,1042,CO,Wild Basin,9560,40.2,-105.6,12/20/2002,9/30/2018,co053496
22,1043_WA,0.5105478325134398,-19.031364191498085,0.7266900879198566,-0.1411165023633399,13,0.2327146660372168,-45.84015987316805,-0.5632261043229163,-25.91469151077332,13,0.1462534438551497,-55.94758957663716,-0.7992954866490785,-32.032020617263534,13,0.3889168020563174,-41.09920916494525,-0.2883078054327404,-24.39433937521025,13,0.09466215751346617,-59.298113238163616,-1.7020133196127285,-39.58246620331039,13,1043,WA,Sentinel Butte,4680,48.86,-118.4,8/28/2003,9/30/2018,wa456974
23,1044_OR,0.4257451794312197,-47.88343889011338,0.6422906733667834,11.17956846303304,13,0.30847039265113485,-58.99728295248482,0.5644779057024585,4.8100521525718465,13,0.08446083518544299,-73.63826144690513,0.04786315483400872,-22.69339912056447,13,0.390177484477952,-43.672378788706666,0.7430051026712753,14.285075161059424,13,0.05659394064537815,-86.18832448598064,0.12116755038199035,-46.65737805501583,13,1044,OR,Toketee Airstrip,3240,43.23,-122.43,10/1/2003,9/30/2018,or358536
24,1045_WY,0.5078177646631941,-39.09406505663647,-0.21335923882579166,-20.90112008456988,13,0.041189418954376215,-72.27845737055077,-5.3830372485779385,-54.52542148914504,13,-0.004961564914412131,-75.39702092933013,-7.18787774613986,-63.62134767704876,13,0.02377750432543824,-73.36283371337011,-5.2646726567602204,-55.36956572432394,13,-0.02503004250911212,-74.53700249296105,-5.086068563856711,-53.8087539156322,13,1045,WY,Crow Creek,8330,41.23,-105.38,8/7/2003,9/30/2018,wy485415
25,1046_WY,0.7962767780420523,-15.633340832636804,0.7166701638048248,4.697373624333868,17,0.6556146248957803,-33.54629570936449,0.5134338113263082,-13.207605540595427,17,0.4765036301721906,-46.73269376272616,-0.4688679985362545,-28.025254957240357,17,0.7361936901985338,-28.895832651961694,0.6435412574690129,-12.218578588165025,17,0.5577342394374207,-36.33318010196804,0.4791068409012751,-15.149880692655124,17,1046,WY,Cinnabar Park,9574,41.24,-106.23,6/13/1999,9/30/2018,wy485415
26,1047_WY,0.8534797873511075,-14.208802553637867,0.8894246316615603,-0.8365290793982092,12,0.5723033141392837,-41.95220675441549,-0.26803221278110234,-25.560825069776932,12,0.8178646253710694,-21.62400674661137,0.6635105197644455,-9.913431210147717,12,0.916969565515772,-3.5194808484794886,0.8641454211320067,3.657219360548237,12,0.539716707005466,-39.475472226398665,-0.3733313087798476,-25.061040640813264,12,1047,WY,Little Snake River,8915,41.07,-106.94,7/27/2004,9/30/2018,co057936
27,1048_NM,0.027222308623373603,-84.53782560497599,-0.3591934315923917,-51.00803805774279,13,-0.07719333312103638,-92.47465329919248,-1.2839280732041796,-69.96062992125984,13,-0.0927129815411385,-91.3886208795097,-1.4072459841809586,-64.83759842519684,13,-0.07556023999896366,-92.78415569648205,-1.3417810385480893,-70.28789370078741,13,-0.0788979394591196,-92.71707702924196,-1.3950793553635812,-71.39517716535434,13,1048,NM,Mcknight Cabin,9240,33.01,-107.87,9/25/2003,9/30/2018,nm294009
28,1049_CA,0.5307184658194781,-48.94451795650031,0.2909761027031276,-33.5244561590818,13,0.19503207945080714,-69.75142911827439,-0.7785990551691702,-56.86165421059654,13,0.31807115411551345,-65.3154410995681,-0.4079131681028307,-51.4259975977579,13,0.6152372692793924,-46.2982012728019,0.28483485140015496,-35.00675630588549,13,0.021740913066776058,-76.29243347762775,-0.9159631937552686,-60.5537668490591,13,1049,CA,Forestdale Creek,8017,38.68,-119.96,9/21/2003,9/30/2018,nv265191
29,1050_CA,0.13008832180842878,-72.47124345149014,-0.3485307236621065,-51.740770126948426,13,0.1450867396876827,-71.40688885237452,-0.44664776497671976,-52.73330789008518,13,0.6768379981784982,-44.63918987960748,0.4562426229781492,-32.803460951309646,13,0.1184054919329932,-74.1643272355787,-0.6174049090519036,-55.90425638759442,13,-0.17940760604389294,-87.09077027476715,-1.5612028178732869,-70.67180218544112,13,1050,CA,Horse Meadow,8557,38.84,-119.89,9/22/2003,9/30/2018,nv265191
30,1051_CA,0.8967167300218798,0.83274562118069,0.7790849078178763,1.9986664973330075,13,0.4744739254949206,-58.52465403470337,-0.20627022809009746,-46.14316103632206,13,0.6161986664195245,-50.4108598404021,0.12792370840843348,-39.03976468667222,13,0.5773563021450778,-53.30528446531265,0.11119948225094488,-40.482805072752974,13,0.8076420610038121,-32.47873365078785,0.5901579014962748,-24.084691026524897,13,1051,CA,Burnside Lake,8129,38.72,-119.89,9/21/2003,9/30/2018,nv265191
31,1052_CA,0.3586512993774885,-59.92885737320623,-0.19730120641739424,-41.127511152360704,13,0.3044832490895514,-64.07019700141521,-0.5591653137087039,-48.063680728121916,13,0.7000014258058354,-23.797805002908195,0.5449044968937449,-9.525163917247982,13,0.012537104571430868,-79.68103149838669,-1.7320057642393278,-62.93711266129755,13,-0.11900724688918385,-85.12310942690138,-1.9580215772365421,-63.859240741295174,13,1052,CA,Summit Meadow,9313,38.4,-119.54,9/23/2003,9/30/2018,ca041072
32,1053_ID,0.33215763352042216,-21.813619370745286,-0.4690961396157327,5.861882700018697,13,-0.3143510096083926,66.06797073675061,-7.1102285920768775,75.82635613820041,13,-2.65965761209108,152.460169278639,-23.03570708893788,135.44605572060752,13,0.4404130851551397,-4.941230810656097,-0.7542500293366945,11.669229011281244,13,0.09700875800183772,-70.53298149780281,-1.3662920665647311,-37.54233062555836,13,1053,ID,Myrtle Creek,3520,48.72,-116.46,10/1/2003,9/30/2018,id101079
33,1054_UT,0.9120093617427472,-1.8044308887595872,0.7514018159099498,2.5534429993435954,13,0.8344512057768969,-22.861613738479363,0.48180301868631104,-12.984453720621625,13,0.7951310814002359,-27.71684627100811,0.24452249778844826,-21.142343222975875,13,0.8406184192742119,-26.387683861700243,0.3788627738819993,-18.33173731305961,13,0.6775304143681989,-40.924739530835964,-0.2590961027584133,-31.14001312809556,13,1054,UT,Farmington Lower,6779,40.99,-111.82,11/20/2003,9/30/2018,ut422726
34,1056_UT,0.752146444187111,-29.07030817937233,0.506139362046576,-17.903912673167508,12,0.3951588639399227,-55.56194035184165,-0.2590599721068361,-41.48702438685231,12,0.32928255841525866,-60.854339994908436,-0.8061176072046651,-49.53538092506649,12,0.3369726487297689,-59.5871298388647,-0.5533185978142203,-46.17371504058683,12,0.488934125787693,-50.69728888176317,-0.20598167629664998,-37.62893048964905,12,1056,UT,Lightning Ridge,8215,41.36,-111.49,7/19/2004,9/30/2018,ut426869
35,1057_CO,0.04840584240977697,-31.116297113895154,-0.03135827516321798,-17.68058305000487,12,0.15924467574687615,-30.290198990065985,0.13420880218250095,-26.053049738568465,12,-0.09235944550168608,-74.1251897818821,-1.3654665311390348,-64.57935711812796,12,0.1006484538407928,-50.74511614481864,-0.2504451691263245,-45.123347743877,12,-0.06109482793818044,-51.75276138989014,-0.6021759755745493,-37.80193343926709,12,1057,CO,Glen Cove,11460,38.88,-105.07,8/2/2004,9/30/2018,co057309
36,1058_CO,0.2696311994981163,9.055026863144018,-2.784422373028757,13.36193050495554,12,0.628905473396834,-13.147116774378825,-0.6997723700750531,0.2526736396756438,12,0.4807008575070605,5.607917023544161,-1.1977674046268971,12.223136287068598,12,0.7336940002104633,-3.9517024578317073,-0.1929599672593372,2.14165393504917,12,0.3972366778425089,-36.52752270835958,-2.4901731316923867,-23.87315391546205,12,1058,CO,Grayback,11620,37.47,-106.54,9/11/2004,9/30/2018,co052184
37,1059_CO,0.6710641991450332,-19.476621388180977,0.16810159366496835,0.4685854946097882,12,0.5646953735922123,-37.01061801381861,-0.8918130032328977,-20.387176179248765,12,0.4820397076137406,-31.896409793203173,-0.7161577904810749,-9.3783827868974,12,0.5399797514971996,-40.53710028045832,-0.8012362382404934,-22.66115040704657,12,0.24419094348905346,-59.62667528634504,-2.45065574722268,-34.219345463173035,12,1059,CO,Cochetopa Pass,10020,38.16,-106.6,9/10/2004,9/30/2018,co051713
38,1060_CO,0.6787255849985736,-33.060068626844924,0.4890540490258228,-17.099848161761646,12,0.4040238770026355,-49.88287395726146,-0.8538278501375518,-33.165039038191864,12,0.3887513214110549,-53.28566398471983,-1.6094862977383009,-39.77767728981189,12,0.5843483682129664,-40.07507188175589,-0.0684825509522402,-25.29268272445923,12,0.2695242957879018,-59.51340423293526,-1.7708035903442123,-42.04010852700313,12,1060,CO,Sharkstooth,10720,37.5,-108.11,10/15/2004,9/30/2018,co053016
39,1061_CO,0.35491030918672883,-39.601193340082986,-0.5513892257968973,-16.625320342937698,12,0.36645532578522494,-29.50816031536337,-0.5861372901647435,-7.1103837558126175,12,0.3288945801710166,-37.72425117241703,-0.5376634902351987,-14.307103006988802,12,0.4316528869158109,-32.178055964917235,0.001094014767405449,-8.649669138338972,12,0.11215749779987072,-55.784346143904344,-3.1614723723874194,-33.500084696213804,12,1061,CO,Bear River,9080,40.06,-107.01,10/1/2004,9/30/2018,co059265
40,1065_UT,0.687829322742233,-22.248141655650727,0.8645857510562789,-7.079552275696473,12,0.4492058419375753,-58.01812364695294,0.31072638959361976,-39.742946929840045,12,0.3534399126597476,-61.63652604555827,0.17757258562208844,-42.65527347198192,12,0.4708331041539772,-57.99075617372653,0.4580702403111898,-37.03294375198615,12,0.44295211477838425,-54.39568365998062,0.4255163953899065,-33.14536916069348,12,1065,UT,Gutz Peak,6763,37.5,-113.94,8/26/2004,9/30/2018,ut429136
41,1066_UT,-0.0074048711207670434,-76.715314783854,-2.586796586883835,-56.21880421726946,12,-0.18529450788258872,-85.14023625130943,-4.666988514850521,-68.42653142933405,12,-0.3553987676047912,-93.1972740818257,-6.37766928158103,-79.8975710663286,12,-0.16029988576428322,-84.32508482547495,-4.1330321802586365,-68.1833044174563,12,-0.24944296371594746,-88.18973296388985,-4.3424238673025535,-67.21406646203123,12,1066,UT,Gardner Peak,8322,37.4,-113.46,8/26/2004,9/30/2018,ut426181
42,1067_CA,0.757687838702277,-36.74129970674696,0.5878060163988268,-26.96257093077773,12,0.6589058060864756,-42.396782874649936,0.4870329896364076,-30.47761182510848,12,0.3469624071097839,-63.6717524604661,-0.4002725052832152,-51.45546772348139,12,0.8064259446130971,-32.83017646786157,0.6723193202130416,-25.106070574797357,12,0.2749473687250413,-67.05901270005369,-0.3956436884194188,-52.85102655478529,12,1067,CA,Carson Pass,8360,38.69,-120.0,9/23/2004,9/30/2018,nv265191
43,1068_WA,0.8743828609906492,20.783683212102165,0.3684070435518718,27.17038302167641,10,0.7931079252455242,-25.73709890532627,0.6875370676341879,-12.416660876052818,10,0.4894842227108077,-47.516457001088845,-0.09730589771501497,-32.89166188179101,10,0.6093124754435353,-42.874107569705735,0.22289228854859933,-28.17200683170525,10,0.5544289910535883,-48.890313480856435,-0.007966136668253077,-35.03937007874015,10,1068,WA,Sawmill Ridge,4640,47.16,-121.42,7/27/2006,9/30/2018,wa456295
44,1077_OR,0.8346195144565921,-24.065023843624893,0.7332582987321824,-14.833054404784765,10,0.4706720775138924,-51.56842419844944,-0.2190837317940064,-35.76041180828005,10,-0.05746211431209813,-77.76313315387931,-1.7608917494009644,-59.38383083212158,10,0.7615836000599094,-26.05240093073273,0.7429565414871546,-13.530721007435035,10,0.2458460803776165,-65.0789008830159,-0.7876423772562493,-47.47369612335042,10,1077,OR,Swan Lake Mtn,6830,42.41,-121.68,10/1/2006,9/30/2018,ca049053
45,1078_OR,0.6222003972230854,-38.29693296118932,0.8001886093528847,-14.347056537460695,10,0.17110523398778832,-68.19254126091789,-0.14184015701733155,-42.85403501064512,10,0.07187749392053755,-72.27287225072952,-0.4076907796492744,-47.18939035517554,10,0.048190475217165685,-75.49657492025881,-0.4653650509501908,-49.47513602108749,10,0.04756621911787606,-74.48111699313347,-0.2451182478777665,-45.61902267581358,10,1078,OR,Sun Pass,5400,42.79,-121.98,6/28/2006,9/30/2018,or351946
46,1081_ID,0.5314296917261383,-34.995431201774025,0.4957314898820385,-14.637801914726925,10,0.3012815590739003,-55.12696391992911,-0.3478535385402377,-35.12933037670458,10,0.17187096484228293,-62.651819382148354,-0.6974335565768552,-42.380595132185185,10,0.1088159514406848,-67.11905120417035,-1.1874899830965058,-46.76939623693747,10,0.06376836399566066,-67.22616742638685,-1.1741990412275567,-46.61404044561881,10,1081,ID,Ragged Mountain,4210,47.86,-117.04,9/26/2006,9/30/2018,wa455844
47,1083_NM,0.591424749856846,7.653437472236493,0.13882521151666585,13.276395562375786,10,0.734474599190274,4.7898037346108655,0.38536115044525376,6.299212598425197,10,-0.3915132849383287,106.15854448923216,-2.4491888528486854,69.95421498830218,10,-0.6722663908277919,110.29940581984795,-3.415839162843612,83.11992151140852,10,0.6573491549449454,-39.79050525460313,0.4708123726857652,-22.440944881889767,10,1083,NM,Tres Ritos,8600,36.13,-105.53,9/21/2006,9/30/2018,nm293488
48,1084_OR,-6.792296367543246,434.510616006679,-5.357734862265951,148.58671512214818,10,-0.4274571214115728,145.19537708514102,-0.13532732711473994,67.1007470220069,10,0.4056434542549838,70.98482492183285,0.4167203604890394,27.04421562689281,10,-11.551553213353744,612.6418059488933,-8.954212204248998,243.241469816273,10,0.034919036190480764,91.77730122612024,0.16129794247508555,35.579446799919246,10,1084,OR,Miller Woods,420,45.25,-123.28,9/22/2006,9/30/2018,or355384
49,1085_WA,0.8151404603583763,-13.680072436240346,0.7775131220161134,-0.9489546565300024,10,0.4572893462002755,-48.24356970538397,-0.02958248832924681,-31.18681852608715,10,0.08826693162990618,-67.47725208963547,-1.7502096779480618,-53.075867785129404,10,0.4492075546667789,-50.62725426290538,-0.2397823508585581,-34.69932977978478,10,0.3965262214293768,-50.088798078444704,-0.22389550086591448,-31.888406190605487,10,1085,WA,Cayuse Pass,5240,46.87,-121.53,10/1/2006,9/30/2018,wa456898
50,2029_ID,0.5302975098865288,22.16829711967347,0.2351989989322233,18.49905641960045,17,0.3268149301843497,29.137942282440825,-0.16677335543243646,23.596559727554716,17,0.23992439458439185,-66.92992944555172,-0.22160866969751453,-49.99295026138262,17,0.32290642053618257,-66.00003818819,0.03958416164077205,-45.468644931780226,17,0.2576450436240509,-34.21576044265788,-0.2277309036621417,-16.296826533047007,17,2029,ID,Reynolds Creek,5600,43.29,-116.85,9/2/1999,9/30/2018,id102444
51,301_CA,0.5222557869882574,-34.56758929864034,0.09204736236103528,-17.30130736812472,28,0.12294711244094356,-69.75908144206647,-0.5141217307508681,-47.661733651371755,27,0.11950673432795368,-72.40578964857912,-0.8526412344256906,-53.54095599613567,27,0.2344294931833093,-64.38650290004082,-0.3400304451008187,-43.32354424752279,27,0.1808602920993042,-67.48440443776964,-0.609765787547399,-48.403876565902436,28,301,CA,Adin Mtn,6190,41.24,-120.79,9/13/1984,9/30/2018,ca040161
52,302_OR,0.784697729632824,-6.813856847247513,0.5943767212145081,4.237322387923183,28,0.7180124266614107,-15.034483085414262,0.6420943142605525,-1.2537864284311484,27,0.7997492145990605,-1.6602511194042373,0.5920646203671236,7.444219779062388,27,0.755679058556872,-19.40223165966628,0.5570324955389631,-6.515564264234277,27,0.5088605532495111,-37.74736171608553,-0.030237519230511545,-20.90017773173464,28,302,OR,Aneroid Lake #2,7400,45.21,-117.19,10/1/1980,9/30/2018,or353604
